X,Y,ID
4070024.99,3443822.0,J-104
4078369.5,3442132.0,J-141
4079087.76,3441092.0,J-162
4067257.99,3445066.0,J-164
4077100.75,3439422.0,J-187
4075741.72,3442713.0,J-20
4075645.74,3436037.0,J-203
4073782.75,3444124.0,J-210
4076849.5,3441343.0,J-221
4078273.5,3440357.0,J-287
4072352.74,3442718.0,J-301
4074697.25,3438963.0,J-31
4078363.25,3438298.0,J-317
4077220.75,3436579.0,J-333
4075079.25,3434398.0,J-365
4074521.0,3438296.0,J-387
4077844.74,3435913.0,J-389
4076740.79,3438315.0,J-401
4077316.99,3443455.0,J-416
4068001.5,3441995.0,J-418
4068016.75,3442595.0,J-419
4075387.01,3439987.0,J-432
4075986.51,3436956.0,J-433
4070712.24,3436342.0,J-434
4065975.5,3434814.0,J-452
4071872.25,3444457.0,J-492
4074584.75,3446304.0,J-546
4077289.5,3445364.0,J-560
4073359.0,3441141.0,J-571
4077080.25,3443662.0,J-591
4071564.24,3441153.0,J-592
4072124.0,3445255.0,J-608
4075890.25,3441915.0,J-633
4073804.75,3444885.0,J-634
4069365.0,3443415.0,J-642
4073419.5,3436993.0,J-68
4072252.49,3446533.0,J-689
4075204.26,3448103.0,J-691
4066327.5,3445806.0,J-694
4075096.23,3442376.0,J-699
4075802.25,3443911.0,J-700
4076442.0,3438994.0,J-708
4063522.0,3440088.0,J-713
4072618.5,3438432.0,J-73
4068592.26,3446762.0,J-730
4062394.99,3441537.0,J-734
4075334.52,3439295.0,J-761
4077198.83,3441747.0,J-790
4072400.3,3445209.0,J-801
4072816.99,3436545.0,J-91
