X,Y,ID
4077362.5,3443575.0,J-106
4074114.0,3441011.0,J-110
4075282.5,3441853.0,J-117
4070704.0,3435803.0,J-125
4067228.0,3445741.0,J-163
4071994.75,3442387.0,J-168
4073813.25,3445168.0,J-205
4078109.5,3438207.0,J-22
4072351.26,3442658.0,J-242
4075690.48,3438224.0,J-245
4072159.75,3438912.0,J-25
4078322.0,3441137.0,J-255
4075268.76,3441361.0,J-256
4076615.51,3436633.0,J-3
4077261.25,3442930.0,J-308
4077786.76,3438096.0,J-314
4077220.75,3436579.0,J-333
4073346.0,3441103.0,J-358
4075370.74,3439566.0,J-373
4074780.51,3438281.0,J-374
4077905.01,3442153.0,J-377
4072411.99,3437684.0,J-383
4078194.24,3440291.0,J-399
4076160.75,3444651.0,J-431
4073525.01,3435119.0,J-446
4073521.75,3443903.0,J-450
4067139.76,3435891.0,J-451
4075841.75,3442162.0,J-475
4077939.25,3443022.0,J-484
4076705.25,3438144.0,J-504
4076361.25,3440868.0,J-511
4072009.01,3441940.0,J-520
4070729.5,3447204.0,J-533
4078504.5,3436032.0,J-542
4073314.75,3440744.0,J-581
4075010.76,3446344.0,J-604
4069938.5,3443159.0,J-612
4079009.0,3443585.0,J-616
4074677.5,3442959.0,J-627
4072833.99,3436910.0,J-640
4072952.77,3445127.0,J-648
4075385.5,3448368.0,J-651
4063522.0,3440088.0,J-713
4075002.75,3435262.0,J-722
4076424.42,3438995.0,J-727
4077051.74,3445338.0,J-743
4065502.49,3441647.0,J-77
4066982.74,3436697.0,J-770
4075206.27,3439996.0,J-774
4076033.5,3442022.0,J-85
