X,Y,ID
4075282.5,3441853.0,J-117
4071610.5,3442048.0,J-167
4074790.26,3440714.0,J-177
4072009.91,3436290.0,J-18
4074749.74,3439967.0,J-180
4075246.0,3447936.0,J-209
4071307.24,3439574.0,J-229
4072747.0,3439411.0,J-239
4069934.0,3442895.0,J-28
4068054.76,3444185.0,J-294
4073571.49,3441906.0,J-295
4078651.0,3440387.0,J-304
4072870.01,3443955.0,J-33
4074521.0,3438296.0,J-387
4067938.99,3445043.0,J-394
4076740.79,3438315.0,J-401
4077316.99,3443455.0,J-416
4076547.51,3441929.0,J-426
4065243.0,3438211.0,J-439
4062106.49,3440595.0,J-445
4075368.01,3439566.0,J-456
4076843.74,3441109.0,J-472
4077939.25,3443022.0,J-484
4073056.75,3437643.0,J-488
4077878.74,3441761.0,J-498
4075780.0,3439014.0,J-527
4078504.5,3436032.0,J-542
4073132.98,3446368.0,J-548
4076583.75,3445914.0,J-590
4075102.5,3442756.0,J-606
4072124.0,3445255.0,J-608
4074871.01,3442955.0,J-626
4075502.49,3441350.0,J-630
4072952.77,3445127.0,J-648
4076186.14,3444649.0,J-655
4071106.0,3446446.0,J-665
4072252.49,3446533.0,J-689
4077850.99,3436830.0,J-692
4071949.01,3444713.0,J-693
4075154.25,3439999.0,J-711
4078481.5,3438117.0,J-715
4075235.49,3435680.0,J-719
4077051.74,3445338.0,J-743
4077535.0,3443705.0,J-746
4064053.27,3435131.0,J-752
4073392.51,3431578.0,J-757
4066982.74,3436697.0,J-770
4072550.26,3436219.0,J-771
4074961.61,3446289.0,J-800
4075898.02,3442028.0,J-86
